Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not_stated_income,Not_applicable_income,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated_rent,Not applicable_rent
2160,316,3637,1343,2837,2774,2537,2054,2196,2428,2222,1430,909,531,703,229,2326,7497,101,56,54,229,79,158,106,143,63,115,77,203,177,547,442,617,252,863,276,112,28,11,12,196,7556
2161,287,3113,1053,2567,2742,2106,1732,1815,1975,1700,1001,691,402,388,142,2296,7411,82,50,62,296,70,163,81,158,59,90,51,182,113,327,224,471,175,616,180,63,20,5,4,134,6601
2162,113,2030,713,1448,1617,1290,1095,1086,1121,1085,655,430,270,330,82,1146,4114,55,48,35,250,48,108,48,80,33,67,31,82,45,109,71,202,61,411,113,29,8,0,0,86,4194
2163,67,876,336,950,905,854,512,496,545,426,205,128,66,64,30,1264,1862,18,73,44,254,62,132,82,91,68,102,99,139,51,66,48,80,31,83,18,11,6,0,0,81,1780
2164,116,1727,716,1689,1956,1517,1106,1209,1330,1232,768,542,294,335,99,1135,3857,43,20,18,114,17,95,40,96,35,68,63,74,34,111,93,224,102,436,81,21,6,6,0,64,4646
2165,316,4160,1624,4450,4905,3499,2459,2417,2519,2075,1169,725,448,442,146,2649,8435,108,49,46,259,81,207,116,222,96,220,167,485,376,548,333,633,305,992,155,35,11,10,8,169,8224
2166,478,6869,2079,4955,5282,4227,3103,3523,3360,2657,1404,871,500,489,214,2893,9862,198,56,43,294,98,254,101,247,111,337,374,1053,333,617,297,577,165,615,106,28,12,4,8,232,10586
2167,44,935,272,474,481,454,491,578,714,772,527,373,257,335,69,769,2095,16,7,7,31,15,16,15,16,19,21,17,44,46,112,61,105,33,220,55,10,0,0,0,20,2317
2168,262,4326,1525,3522,3774,2882,2347,2778,2909,2527,1470,951,536,525,195,3172,9740,75,151,115,585,158,306,168,215,113,148,74,172,114,287,250,431,186,605,151,20,13,3,4,199,9189
2170,531,9802,3261,7004,7793,6791,5613,6268,6910,6959,4274,3216,2111,2332,885,8411,23289,210,143,120,644,153,366,207,342,184,388,487,1091,617,935,604,1138,598,2026,525,123,33,0,30,412,24618
2171,118,3422,1111,1757,1822,1476,1703,1928,2442,2652,1805,1505,1014,1245,404,1600,8853,44,0,0,6,7,10,7,12,17,40,18,35,12,34,27,76,49,722,383,68,8,5,11,50,8256
2172,9,237,82,97,113,94,116,123,168,200,164,159,137,224,130,108,621,5,0,0,0,0,0,0,3,9,25,3,20,7,9,0,3,0,12,4,12,4,0,0,4,746
2173,44,1285,485,552,575,523,611,792,989,1189,1008,778,648,738,232,627,3365,11,0,0,3,4,3,3,16,108,151,22,44,8,25,18,69,43,515,119,33,0,4,5,24,3230
2174,3,273,45,76,78,72,93,106,147,174,141,103,75,91,36,134,614,5,0,0,0,0,0,0,0,5,12,0,3,0,7,0,0,0,22,60,13,0,0,0,4,524
2175,6,146,51,117,144,127,118,118,130,125,82,80,46,51,49,142,316,16,0,0,4,0,3,0,0,0,7,0,9,0,6,5,9,5,16,3,3,0,0,0,3,503
2176,306,4834,1804,3897,4738,3377,2684,2887,3301,3181,2046,1456,864,1037,383,2474,8533,82,18,21,92,38,104,57,108,48,63,43,91,36,132,87,308,237,924,225,46,8,8,5,101,11360
2177,103,1815,631,1379,1536,1119,926,1049,1089,1007,609,402,223,235,85,682,3096,22,14,14,69,30,84,49,96,78,83,35,72,30,83,41,131,53,244,68,4,0,0,5,55,3315
2178,35,353,135,221,277,208,245,286,319,285,198,172,99,113,75,473,745,23,0,0,0,3,0,3,6,3,4,8,11,13,19,10,25,10,39,17,12,5,6,0,14,1048
2179,33,525,184,314,575,410,386,402,435,468,310,239,130,168,66,654,1237,38,0,0,0,4,12,5,12,11,18,17,43,19,41,18,48,11,113,101,29,12,6,0,26,1689
2190,173,2832,967,1985,2220,1779,1426,1329,1386,1287,764,584,351,421,189,1723,6153,83,50,46,272,67,135,58,128,39,56,27,65,27,88,62,155,56,411,260,112,22,3,3,98,5706
2191,29,619,221,381,543,463,357,351,397,401,275,257,143,221,94,302,1270,19,4,5,55,22,37,10,25,16,14,8,14,3,16,3,25,23,148,87,27,6,7,3,44,1673
2192,68,1330,422,868,1112,937,799,838,955,846,476,352,211,231,79,935,2252,51,23,10,67,26,65,17,45,32,48,56,165,170,312,131,158,41,209,132,53,12,5,10,59,3001
2193,66,1335,511,814,1072,919,853,924,1057,1146,793,664,523,776,392,898,2505,42,3,4,15,8,18,7,56,15,24,24,97,61,119,101,151,69,413,234,80,37,11,12,53,4430
2194,168,3344,820,1839,1970,1713,1777,1782,1813,1687,910,573,361,380,132,1526,3744,87,11,21,85,15,75,39,87,31,78,51,200,213,635,452,596,232,776,316,93,26,8,19,118,4694
2195,182,3427,831,2118,2063,1997,1679,1676,1618,1336,635,409,259,251,80,1848,6747,74,19,15,82,23,53,43,60,53,69,130,627,591,1091,434,384,93,368,122,45,5,6,10,116,4469
2196,256,3559,1101,2374,2690,2273,1829,1885,1941,1750,1143,733,484,512,194,2002,7102,82,33,41,153,44,110,55,103,37,82,61,232,164,328,141,252,90,573,287,82,30,9,8,127,7423
2197,59,946,318,642,830,671,511,554,560,514,316,202,132,200,75,481,2068,29,17,17,94,26,47,24,35,13,25,12,42,5,32,13,64,25,198,77,35,3,0,4,34,2144
2198,53,752,281,538,675,584,523,529,588,569,360,275,169,256,102,794,1999,26,0,3,7,0,9,0,8,8,8,3,17,7,15,7,44,15,147,76,31,3,0,4,18,2430
2199,123,1868,644,1368,1509,1353,1118,1056,1087,1069,655,394,257,272,119,1144,3985,40,24,33,131,42,109,49,102,46,51,24,58,33,106,70,185,75,384,103,47,6,0,9,88,4125
2200,311,4906,1408,3369,3595,2872,2539,2675,2755,2407,1425,1002,590,660,236,3175,9771,144,57,53,274,49,163,89,139,57,118,81,209,147,435,449,1015,317,1018,302,98,27,14,14,219,9341
2203,68,787,377,583,786,723,684,743,917,1120,910,776,607,981,489,1009,2151,41,10,14,28,11,41,38,44,27,36,38,77,76,176,126,254,158,621,314,134,68,42,24,45,3840
2204,80,1651,636,1409,1833,1786,1465,1523,1860,1953,1569,1342,1031,1711,768,2139,3770,77,20,25,172,40,91,50,127,94,153,67,151,108,237,154,349,192,896,576,346,166,126,94,117,6865
2205,132,2204,505,910,1248,1142,1139,1255,1475,1581,1101,839,563,936,320,1490,2609,61,14,11,103,26,33,22,39,22,30,27,63,24,71,38,98,62,720,1136,372,104,37,39,109,4435
2206,75,1616,643,1042,1544,1258,999,1006,1112,1346,932,833,612,980,528,1307,3569,57,7,9,33,8,30,17,24,14,10,14,35,16,43,25,77,32,267,298,129,46,34,18,48,5827
2207,130,2581,975,1576,1935,1909,1598,1542,1859,1918,1338,1127,772,1091,489,2482,5213,79,11,0,44,16,31,27,47,26,50,21,71,53,125,90,231,114,597,346,140,37,15,19,71,7827
2208,46,1171,446,779,1078,830,720,701,816,819,593,491,316,507,232,659,2247,32,9,8,51,19,31,22,36,21,25,12,35,8,47,22,49,16,225,214,77,24,5,7,49,3551
2209,74,1727,549,1038,1208,1098,944,1026,1068,1069,694,605,400,545,196,816,2727,44,19,22,147,29,81,38,61,27,36,30,77,41,77,73,90,79,351,196,69,33,10,13,85,4123
2210,150,2875,1111,1973,2466,2205,1879,1820,1939,1960,1347,1146,818,1155,579,1901,5266,64,83,75,518,134,218,126,179,56,89,47,96,35,97,50,184,74,625,281,100,38,12,17,152,8252
2211,70,1580,571,929,1266,1255,1012,1052,1186,1296,844,679,460,655,232,890,2862,41,29,14,163,50,43,24,51,21,27,12,43,12,45,30,122,73,362,176,86,13,3,10,68,4818
2212,66,1369,530,931,1157,1123,908,975,1138,1120,789,611,416,573,214,903,3027,34,18,28,143,43,69,45,66,42,43,15,51,31,51,42,123,64,375,172,115,23,7,3,57,4046
2213,83,1704,732,1181,1430,1388,1272,1291,1430,1607,1077,937,719,1008,441,1081,4411,49,20,29,210,40,71,23,75,24,32,29,50,16,56,29,99,72,389,236,131,22,9,4,68,6181
2214,12,295,141,212,279,213,262,252,291,298,212,166,130,175,48,152,797,5,0,0,0,0,0,0,4,0,7,0,3,0,5,3,3,4,53,27,7,0,0,0,0,1234
2216,173,2730,735,1373,1973,2033,1762,2098,2326,2251,1334,1052,665,991,445,2071,4043,101,22,13,73,25,46,24,54,34,63,50,121,66,179,178,447,278,1306,637,192,66,22,53,134,7205
2217,125,2521,778,1330,1719,1781,1618,1707,2026,2071,1393,1197,808,1148,528,1565,4528,98,8,6,29,16,40,23,56,28,39,34,96,70,211,236,495,290,1031,573,191,59,22,26,98,7009
2218,75,1772,559,979,1209,1035,1023,1083,1275,1245,779,675,424,601,226,813,2659,61,10,5,25,13,36,20,23,11,29,23,59,36,112,137,360,218,711,216,74,17,6,5,66,3935
2219,48,984,340,668,866,865,811,748,974,968,682,619,436,630,463,885,2209,44,16,8,61,8,15,6,26,10,33,15,34,26,51,58,162,98,362,173,102,54,20,28,50,4474
2220,177,5558,1250,1903,2251,2112,1968,2109,2395,2268,1297,967,629,932,450,1601,4625,126,19,22,76,25,60,31,70,50,68,34,80,53,124,137,385,238,1493,845,220,74,28,45,156,7051
2221,60,1724,666,797,934,888,906,887,1004,1113,802,720,528,823,744,821,3056,41,4,3,33,9,13,12,11,6,19,14,31,14,30,26,60,38,221,151,90,37,13,28,41,4858
2222,47,1315,458,711,779,812,792,876,1017,962,655,496,347,494,260,665,2105,30,5,12,28,6,21,14,35,15,23,16,68,60,194,209,265,82,267,125,40,14,6,7,53,3229
2223,120,1794,748,897,1087,1056,1126,1196,1433,1596,1179,980,773,1306,865,982,3792,64,10,0,21,7,14,5,26,15,33,26,69,51,165,202,305,128,425,231,116,53,15,15,46,6114
2224,49,1081,449,678,853,836,903,868,946,997,715,662,443,701,552,891,2577,38,10,7,39,22,25,9,24,9,23,9,24,8,27,36,70,46,136,99,100,57,23,52,30,4549
2225,16,361,202,226,228,267,251,253,279,353,235,292,215,442,338,176,1290,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,18,29,27,8,3,7,3,1698
2226,27,774,450,562,624,669,618,640,773,871,602,623,489,868,582,615,2720,14,6,12,57,21,32,13,26,9,22,15,27,17,35,24,46,22,124,101,56,21,16,11,26,3827
2227,40,862,578,619,801,866,796,808,859,1044,840,766,570,970,662,616,2910,33,9,6,29,5,17,12,16,8,19,9,24,12,33,36,110,57,269,178,133,38,11,10,31,4524
2228,45,1173,566,841,1117,1197,1086,1215,1211,1288,988,881,648,958,542,1251,3344,44,15,21,138,28,39,29,45,20,33,17,36,21,68,61,180,162,464,251,92,48,26,30,68,5527
2229,82,1775,1017,1136,1480,1700,1659,1760,1849,1941,1562,1425,1075,1819,1352,1593,5488,50,21,21,135,23,41,30,34,42,93,45,51,31,84,95,148,109,471,310,200,94,53,79,79,9169
2230,79,1524,865,1049,1260,1519,1543,1657,2040,2440,1864,1802,1249,1948,1602,2050,4353,87,11,10,41,17,33,20,46,19,66,57,194,168,293,202,402,174,938,408,242,111,67,99,99,9721
2231,4,185,51,96,100,109,143,144,154,177,114,101,76,97,44,98,570,10,0,0,0,0,0,0,0,0,0,0,3,9,8,0,3,3,20,24,15,7,5,0,8,678
2232,107,1888,1107,1432,1812,1999,1838,1868,2213,2570,1932,1764,1318,2032,991,1773,6222,60,29,26,164,39,54,27,68,27,45,22,59,38,111,173,490,300,663,314,158,59,15,14,90,10114
2233,62,1718,1122,1331,1525,1617,1800,1746,1990,2211,1692,1550,1170,1718,656,1181,6415,35,3,5,29,0,17,5,14,12,21,9,42,17,49,49,158,59,218,186,85,28,0,0,37,9251
2234,82,2178,1310,1380,1533,1590,1682,1678,2011,2438,1728,1717,1196,2052,1217,1134,5648,32,0,5,9,6,16,7,30,17,19,19,18,12,19,11,23,21,190,197,146,86,27,20,46,9039
2250,205,4376,2466,3722,4891,5127,4573,4438,4740,4627,3010,2593,1836,2461,1137,4734,12262,178,65,68,429,133,269,182,281,157,310,213,660,464,854,577,693,269,764,199,46,23,11,21,223,21056
2251,86,1940,1254,1719,2448,2659,2399,2067,2122,2171,1429,1413,1031,1319,696,1820,6116,72,19,12,93,34,57,36,63,40,68,52,154,70,172,123,171,92,383,161,52,31,9,12,58,12590
2256,45,913,508,1019,1536,1658,1172,1031,1070,897,630,471,352,499,241,1220,2329,46,28,25,211,31,72,50,81,49,86,49,150,121,236,143,187,91,220,70,19,5,0,3,72,6015
2257,105,1709,879,1736,2724,2818,2299,1967,1913,1873,1120,947,631,908,447,2123,4825,78,11,13,47,19,57,57,177,122,197,158,280,222,506,303,335,123,417,117,31,10,3,3,71,11008
2258,12,349,208,263,324,321,333,350,402,372,291,218,143,218,103,241,1019,15,4,0,11,0,9,6,21,7,8,12,59,37,52,31,33,14,35,11,6,0,0,0,3,1570
2259,257,3711,2000,3524,5517,5014,4068,3979,4072,3805,2294,1901,1316,1592,604,3895,11963,111,37,28,152,101,235,147,201,110,239,198,485,333,576,367,440,230,915,135,20,10,4,10,149,18290
2260,58,1497,884,1104,1360,1447,1459,1472,1553,1629,1224,1083,871,1211,845,1159,4575,56,0,3,9,13,19,13,35,20,45,51,94,41,113,85,156,89,423,242,130,47,17,29,40,8424
2261,167,2879,1754,3044,4495,4744,3976,3623,3853,3560,2257,1780,1159,1361,587,3853,9646,127,45,63,262,70,203,136,271,148,322,308,603,396,673,437,554,216,634,133,46,19,5,11,173,18647
2262,70,1287,611,1340,2186,1853,1608,1507,1478,1291,774,510,329,361,126,1281,4222,38,6,5,25,23,52,50,92,55,116,126,257,189,321,169,186,77,153,11,0,4,0,6,51,6774
2263,78,1271,664,1602,2517,2553,1901,1848,1585,1452,800,596,375,394,172,2408,4048,65,22,19,120,32,128,107,201,96,249,224,471,276,367,194,163,55,136,30,6,0,8,0,92,8180
2264,41,902,449,933,1387,1425,1156,963,950,914,522,436,304,373,174,964,2346,37,0,9,34,16,34,26,47,35,83,38,159,90,193,124,96,76,110,14,4,0,0,0,36,5267
2265,28,387,235,410,442,503,419,341,351,353,244,208,135,179,67,521,986,7,0,13,6,15,8,23,50,9,30,21,36,19,39,28,31,20,46,13,0,0,0,0,10,1839
2267,17,173,72,174,294,244,239,225,170,188,106,99,62,90,46,164,396,11,0,0,5,5,22,17,29,9,18,14,32,16,27,10,15,6,21,3,0,0,0,0,3,1113
2278,12,177,109,146,188,166,181,194,220,207,122,93,54,79,20,104,517,6,0,0,0,0,0,4,6,0,4,5,13,18,20,11,17,5,7,0,0,0,0,0,6,796
2280,87,1576,990,1512,2248,2248,1994,1691,1758,1865,1162,982,747,1024,569,1416,4814,47,27,20,176,46,104,75,137,89,124,100,207,146,211,135,184,70,194,87,13,8,0,6,66,8948
2281,41,889,507,949,1478,1449,1066,907,865,926,551,496,342,488,229,849,2241,52,10,8,55,31,70,69,69,37,80,65,130,66,119,69,75,41,110,38,11,0,3,0,35,5273
2282,38,838,663,786,1130,994,958,941,1007,1041,679,637,480,750,425,706,2700,36,0,0,20,9,18,9,30,13,39,33,84,73,150,76,81,39,149,46,17,6,0,0,26,5052
2283,62,1438,830,1532,2228,2011,1687,1590,1558,1529,949,781,565,695,439,1584,3815,49,26,26,168,58,124,67,112,74,126,144,251,144,209,126,111,56,113,25,5,5,0,9,68,8010
2284,30,655,349,680,964,979,822,733,727,709,420,342,249,307,140,637,1747,23,5,9,79,20,64,39,70,34,58,49,116,91,132,71,71,31,61,11,4,4,0,0,46,3427
2285,64,1784,961,1619,2342,2409,1967,2067,2250,2276,1493,1294,807,1036,295,1472,6583,39,27,21,97,37,92,38,124,58,100,74,224,170,291,201,212,78,476,29,3,0,0,4,60,9480
2286,18,236,131,228,369,307,267,292,277,297,173,126,81,90,25,195,799,13,0,9,0,4,9,4,6,0,17,6,34,20,39,15,21,3,23,0,0,0,0,0,3,1314
2287,112,2582,1229,2200,2907,2801,2389,2388,2542,2443,1676,1358,940,1316,459,1890,7152,73,36,46,173,57,164,67,158,90,163,125,331,281,498,305,288,107,464,78,23,13,5,6,102,10698
2289,39,1009,748,1014,1368,1312,1231,1109,1299,1358,1005,908,692,1055,436,753,3776,39,16,9,60,25,41,34,68,30,86,77,173,100,162,125,154,73,248,50,19,7,0,4,53,6193
2290,87,1784,1136,1794,2781,2862,2290,2188,2232,2356,1522,1304,971,1427,659,1712,6305,76,30,18,139,48,137,77,131,81,112,119,286,244,363,219,265,99,276,79,21,15,3,8,86,10941
2291,31,590,459,618,716,778,786,801,884,979,752,694,471,950,841,712,2355,26,30,13,119,17,38,17,50,42,58,71,111,101,174,112,151,55,235,126,49,26,13,18,46,4342
2292,4,118,78,139,185,194,162,174,177,207,114,129,85,112,32,113,438,8,0,0,3,6,11,12,25,15,22,29,40,26,49,29,53,15,60,4,0,0,0,0,9,776
2293,10,119,64,137,148,174,180,180,182,204,192,134,85,168,65,162,326,10,0,5,6,5,12,14,17,13,15,13,29,24,40,37,49,25,103,42,3,0,0,3,7,890
2294,4,80,49,115,139,153,133,139,142,155,115,104,77,96,21,134,278,8,9,4,19,0,12,9,9,11,21,12,23,22,47,31,37,20,59,9,3,0,0,0,14,606
2295,24,319,180,379,713,577,484,434,393,392,286,259,191,288,125,884,1004,14,9,8,58,21,34,12,33,20,33,19,40,27,37,37,46,16,119,33,3,0,0,0,20,2496
2296,4,80,40,119,126,135,141,119,157,142,126,100,73,88,33,121,285,8,12,5,8,6,10,4,15,16,23,18,35,23,49,27,38,11,61,18,5,0,0,0,6,580
2297,4,96,38,117,119,125,101,109,109,111,79,68,51,77,22,129,314,4,4,4,5,3,9,10,20,9,16,7,16,14,20,17,20,12,24,3,3,0,0,0,3,514
2298,34,561,304,735,750,828,629,595,655,608,446,350,255,285,91,973,1400,24,21,17,144,39,65,42,73,42,72,74,141,76,145,119,135,53,140,22,9,5,5,8,46,2689
2299,53,886,381,929,1028,895,754,670,694,773,447,405,271,348,149,512,2018,24,29,28,138,60,120,35,109,52,95,67,166,128,234,154,125,53,136,31,7,5,12,17,59,2936
2300,28,472,279,522,634,641,643,620,707,837,656,626,475,787,676,952,1033,29,51,40,240,41,43,29,75,80,83,70,145,120,170,140,203,104,422,204,99,49,19,20,72,3736
2302,6,32,18,33,36,39,35,37,35,44,40,38,24,31,15,84,17,4,3,0,4,3,0,0,4,3,0,6,6,3,14,15,26,11,29,17,4,5,0,0,3,211
2303,23,433,349,618,741,783,533,530,589,597,409,364,283,492,360,674,1368,27,64,34,263,54,85,47,67,37,62,51,95,51,118,66,79,49,212,48,22,13,3,6,51,2843
2304,45,821,426,1033,1343,1320,1072,997,1128,1129,762,606,396,479,107,1210,2285,42,29,34,214,35,87,75,126,78,153,96,205,161,311,205,231,86,154,14,3,3,0,4,70,4508
2305,24,680,480,621,757,854,762,778,789,889,635,562,421,688,451,610,2497,24,12,13,51,19,29,48,62,43,79,61,105,78,146,108,115,38,140,49,13,0,0,0,37,4063
2306,21,159,86,337,530,380,217,192,181,111,30,27,10,19,14,313,735,7,30,34,252,60,134,64,74,32,34,48,121,53,27,10,9,0,0,0,0,0,0,0,59,521
2307,9,281,107,336,416,398,300,267,274,302,158,102,55,60,14,177,640,8,17,6,30,9,28,14,24,11,26,17,68,30,81,41,52,16,45,4,0,4,0,4,16,1193
2308,17,374,192,381,103,82,59,25,5,11,0,0,0,6,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2311,4,66,37,59,67,71,73,54,48,47,35,14,15,22,15,73,157,18,0,0,3,0,3,6,3,5,8,0,7,7,5,0,0,0,0,0,0,0,0,0,3,385
2312,9,84,67,110,164,140,129,107,90,74,47,22,15,21,8,85,279,6,4,0,0,0,5,3,0,8,15,9,17,6,12,9,6,3,0,0,0,0,0,0,0,507
2314,0,0,0,0,0,0,0,13,16,31,27,8,8,13,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315,44,767,516,949,1331,1334,1207,993,933,972,552,448,328,441,253,1433,2165,37,3,6,68,17,33,29,63,67,173,86,195,112,176,91,160,56,177,52,24,0,5,8,57,7629
2316,18,328,214,379,589,530,473,358,357,323,225,168,123,173,81,545,963,20,0,4,3,3,9,3,28,4,29,18,40,34,61,31,54,17,54,14,5,0,6,0,16,2332
2317,17,283,206,383,634,674,585,470,399,356,224,183,112,139,104,492,969,19,6,11,30,15,17,14,26,26,52,18,73,50,99,39,60,19,83,15,9,3,0,0,20,2770
2318,41,760,417,655,905,759,725,749,797,794,621,534,334,438,160,848,2612,7,0,4,3,12,9,11,29,56,112,18,83,40,120,62,68,31,99,21,5,0,0,0,24,3635
2319,18,423,216,452,815,689,502,407,425,384,206,188,99,136,49,493,1186,16,0,0,13,6,12,34,39,27,48,55,106,60,89,61,77,8,20,0,0,0,0,3,14,2461
2320,108,2017,1094,2077,2575,2438,2096,2141,2300,2120,1374,1246,903,1569,710,2115,7684,73,31,26,150,52,150,124,131,77,216,213,492,272,463,398,361,49,78,30,13,3,0,5,96,10240
2321,34,962,495,742,1015,923,901,934,984,980,659,596,452,679,252,741,3279,40,9,3,13,8,14,12,37,19,34,31,91,93,137,255,265,47,39,10,0,4,0,0,35,4325
2322,54,1114,652,1153,1585,1319,1195,1293,1366,1267,848,651,427,538,211,918,3872,28,14,13,68,40,59,76,86,86,169,113,223,153,141,48,69,44,106,17,5,0,0,5,59,5667
2323,74,1567,973,1497,2057,1941,1684,1612,1781,1692,1106,925,687,972,389,1570,5213,40,37,47,210,67,179,136,221,134,201,176,377,247,353,149,171,51,124,11,5,0,0,0,82,7620
2324,100,1334,783,1630,2300,2207,1839,1670,1525,1533,841,704,424,514,234,1796,4212,71,29,27,184,69,125,95,192,152,348,264,324,166,214,105,144,27,41,13,5,5,3,6,67,8917
2325,92,1569,840,1855,2731,2567,1926,1772,1615,1511,845,684,485,814,355,3184,5618,83,33,29,155,54,141,91,176,132,428,361,416,156,201,189,94,9,38,9,0,0,0,4,90,8834
2326,41,431,247,537,769,647,465,485,450,421,266,183,121,169,45,557,1504,24,3,8,38,13,31,45,57,29,76,63,89,28,28,10,6,0,5,9,4,0,0,5,21,2341
2327,11,427,242,547,832,767,559,562,515,427,256,162,132,133,40,630,1375,21,11,4,56,18,49,55,56,49,132,150,179,62,46,10,19,0,4,0,0,0,0,0,34,2354
2328,16,160,93,123,199,162,139,139,157,154,86,79,53,137,38,211,497,37,6,0,0,7,15,12,17,10,28,21,38,9,14,0,4,4,0,0,0,0,0,0,11,896
2329,23,104,75,115,188,195,131,133,134,122,57,40,29,70,23,254,421,53,8,3,24,9,21,10,20,22,30,5,10,0,0,0,3,0,0,0,0,0,0,0,14,829
2330,83,1484,716,1081,1316,1242,1109,1130,1059,1074,756,716,628,1380,576,1592,4399,78,28,32,108,40,117,102,141,111,210,137,323,106,199,92,106,19,86,13,0,0,0,4,85,6297
2331,0,0,0,0,0,4,24,126,62,43,27,16,16,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2333,57,872,425,818,871,850,817,751,725,641,500,429,373,829,273,1273,3149,69,14,29,62,60,230,126,214,157,340,225,259,63,75,18,22,5,16,3,0,0,0,3,69,4162
2334,7,201,97,195,212,173,147,175,169,163,119,82,64,131,36,148,715,6,0,3,0,0,3,0,8,8,26,25,35,14,47,16,10,7,6,0,0,0,0,0,6,848
2335,24,386,200,312,339,358,368,359,365,377,246,231,192,402,141,416,1451,20,4,3,5,6,9,7,20,12,46,32,79,54,68,28,26,0,28,3,0,0,0,0,10,1895
2336,8,156,79,151,194,180,137,149,170,145,94,98,66,156,41,226,556,32,4,0,14,8,39,11,37,15,43,19,26,8,8,0,0,0,0,0,0,0,0,0,9,902
2337,27,406,241,377,536,567,467,571,555,488,270,236,194,392,180,722,1651,83,6,13,32,16,60,35,92,58,118,48,88,29,42,15,23,0,23,4,0,4,0,0,48,2653
2338,11,93,33,98,149,149,120,91,80,63,36,31,24,40,24,154,240,27,0,4,15,5,20,7,17,13,14,4,8,0,0,3,0,0,0,0,0,0,0,0,9,620
2339,3,37,17,44,58,36,48,39,50,34,25,12,8,15,12,91,127,16,3,0,0,5,3,9,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,297
2340,190,2290,1472,2603,3597,3675,3359,3649,3961,3479,1989,1530,1106,1392,578,3983,10220,209,79,66,255,142,354,324,481,392,602,466,761,417,447,245,217,51,172,22,3,3,0,11,231,15251
2341,11,76,43,118,226,174,111,93,87,59,28,27,23,31,16,185,262,11,0,10,16,8,25,30,47,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,597
2342,10,26,13,15,36,37,23,32,43,30,19,16,6,4,14,45,93,14,3,0,0,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,188
2343,30,259,133,312,439,442,355,350,350,308,171,140,93,111,62,461,936,73,16,3,38,53,58,54,52,33,76,36,34,0,3,0,0,0,0,0,0,0,5,0,48,1768
2344,8,39,25,37,58,44,29,68,54,51,33,36,15,21,15,79,152,11,0,0,0,0,0,0,3,4,3,0,3,0,0,0,3,0,5,0,0,0,0,0,5,268
2345,9,43,29,39,61,46,55,52,67,53,35,19,21,14,9,58,130,4,0,0,0,0,0,0,4,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,270
2346,25,142,75,244,429,332,233,201,200,153,72,56,41,42,20,329,555,28,9,11,12,14,23,38,29,27,43,14,22,13,11,0,9,0,4,0,0,0,0,3,7,1200
2347,18,92,53,139,283,207,135,134,104,85,42,27,15,22,19,236,313,42,9,12,21,17,46,18,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,842
2350,101,1656,882,1758,1763,1896,1804,1831,1628,1606,1015,872,625,873,362,1913,4757,128,36,51,152,97,238,202,355,213,363,203,334,183,255,135,126,71,107,17,0,0,0,13,95,7771
2351,14,178,132,278,74,39,36,16,5,0,0,0,0,0,5,194,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2352,14,134,80,159,244,187,194,213,228,207,102,96,45,57,18,160,581,13,0,0,5,7,9,3,7,13,30,25,47,12,21,0,8,0,0,0,0,0,0,0,11,936
2353,0,59,59,60,110,96,75,72,80,75,37,30,20,27,4,123,194,8,0,0,0,0,4,5,15,3,0,3,9,0,0,0,0,0,5,0,0,0,0,0,5,397
2354,30,146,124,227,304,282,259,247,234,228,119,100,67,83,50,438,633,85,13,3,43,22,33,27,43,9,18,5,6,0,0,0,0,0,0,0,0,0,0,0,29,1497
2355,7,39,19,55,54,63,51,46,38,38,15,13,4,7,6,95,96,14,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
2356,0,14,4,12,24,19,12,7,5,10,0,5,0,0,3,15,32,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2357,20,211,133,304,420,388,334,252,238,205,106,99,59,75,33,530,736,26,10,16,39,34,60,66,79,17,33,3,5,0,3,0,5,0,0,0,0,0,0,4,11,1617
