Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
5571,911,47166,35575,532,43543,36404,148,1185,-264,911,50369,37398,911,3069,354,102,109475,32342,97,90704,17128,603,14426,8280,994,144221,66044
5572,86,70904,56111,49,32537,27135,20,1881,-1433,86,75670,62154,86,4766,524,19,65889,38580,18,40552,39723,72,20218,12697,91,144306,50115
5573,1067,48422,37280,619,41821,36701,144,2763,-404,1067,52364,40440,1067,3803,452,106,76512,27392,98,62819,15662,739,14341,9561,1194,135926,54556
5575,1212,39150,31850,717,40873,35813,190,15,-90,1212,42166,34002,1212,2834,382,147,85950,26044,139,84233,17783,752,11110,7138,1324,127370,55795
5576,597,40551,32450,359,43354,35962,88,-955,-1164,597,43872,33695,597,3059,474,85,61040,29207,79,51359,21184,395,11184,7117,661,106423,50355
5577,310,33727,30176,192,40433,33397,39,2151,1605,310,37123,33030,310,2002,370,45,89174,28042,46,80730,23524,200,9435,6265,319,88334,34799
5580,215,34148,31880,126,38314,34174,33,-1134,-1009,215,38086,34383,215,2925,540,28,120487,37178,27,99802,20351,136,10407,7793,213,109428,49967
5581,282,44900,34518,145,44722,36666,69,-1064,-277,282,47826,35893,282,2856,300,29,92739,35508,27,84009,24863,178,14320,7474,308,179299,86033
5582,335,43978,35244,192,45328,38581,56,-314,-1016,335,46837,36692,335,2819,425,27,60802,21966,26,52872,25002,210,12630,8808,376,161662,80441
5583,365,37181,28680,222,37250,29932,45,3480,1368,365,39098,29900,365,1857,366,43,103245,46836,39,96462,29613,217,9900,6622,424,118690,46964
5600,3537,62125,50894,2980,65813,57236,663,-3568,-2150,3537,64466,53553,3537,2318,1174,194,92521,33820,187,82780,20054,2805,17925,13470,4266,158002,76428
5602,709,51861,37854,487,50698,40000,130,-1163,-1571,709,54897,39020,709,2556,477,56,87084,33046,54,73758,20754,514,15377,8071,832,113695,52057
5603,262,48480,42775,154,41785,41985,32,-1970,-398,262,53235,45061,262,2992,436,30,102443,33092,28,82159,19084,181,13294,9458,258,84494,45017
5604,110,42158,28544,58,47119,35468,33,-456,-640,110,46391,30562,110,3708,416,11,73891,66945,11,51136,4531,61,13866,11317,128,116332,52069
5605,1026,46632,37346,601,45439,38880,142,66,-94,1026,50056,39226,1026,3233,474,89,75837,33750,90,55157,12650,713,13288,8097,1110,152163,58383
5606,8492,50619,40636,6531,47445,41247,1196,-1839,-1340,8492,53183,42544,8492,2450,604,647,86589,30340,612,64816,15030,6488,13422,8292,9834,114890,43895
5607,1928,46367,38162,1261,47186,41088,283,-834,-1558,1928,49834,40898,1928,2809,465,211,74216,29352,201,58661,15545,1365,12834,7990,2057,120967,48583
5608,5503,54215,44257,4810,57220,49790,569,-4394,-3022,5503,56081,46250,5503,1851,945,196,44179,21146,192,33873,11209,4193,14798,11341,7278,91134,39323
5609,897,65783,56441,810,69307,61550,126,-6335,-4391,897,67967,59373,897,2181,1264,39,34272,22018,42,31082,15004,720,19579,16628,1007,114484,59373
5630,74,42945,39766,49,43057,37366,13,2773,-2982,74,47745,40410,74,2424,388,11,54450,29222,10,36495,14582,51,12195,8801,75,83824,59890
5631,799,54483,43857,501,42677,38146,128,-2676,-2150,799,60448,49067,799,4599,567,45,74786,26626,44,63574,16376,603,15910,10058,789,148917,49120
5633,200,47457,39894,99,32835,25006,31,2593,1084,200,54463,46774,200,4356,300,28,53891,14006,25,37468,5737,144,12551,9841,208,96356,33582
5640,672,47146,40603,401,45332,40561,113,-148,-494,672,52226,44030,672,3584,498,67,98622,34086,63,90457,17971,481,12967,9389,701,129850,56926
5641,640,44283,37612,345,41537,36000,86,-1396,-1009,640,48967,41350,640,4125,366,49,120892,32731,45,106576,32577,457,12129,8504,637,127612,47368
5642,119,53075,42293,57,30163,23765,20,-4981,-4616,119,57551,48110,119,4265,363,10,68014,40850,10,61001,16420,91,13477,8453,113,102863,35744
5650,78,64457,53560,33,26164,21530,10,-2961,-1892,78,73699,63860,78,9024,586,6,222810,56564,6,185379,18646,67,16059,13135,82,127108,43619
5652,451,46163,39354,285,44609,42170,51,-419,-98,451,49684,43411,451,3179,454,53,54326,22857,51,48432,13755,324,12801,9778,468,111783,50140
5654,108,48113,43960,68,40696,42746,16,-815,802,108,52662,47503,108,4309,483,15,93127,79307,13,61276,44083,81,13449,9635,113,118031,46967
5670,276,40960,36452,174,40792,36738,40,-1022,-57,276,44111,37928,276,2790,507,31,55924,26118,28,49282,10576,184,11386,7889,300,113409,47068
5680,1296,45335,36752,867,43169,37597,182,-1204,-669,1296,48192,38734,1296,2495,421,157,72777,30293,149,56241,20882,928,11800,7591,1360,118761,49967
5690,2174,48962,41984,1742,47047,43175,293,-1247,-1393,2174,51863,44386,2174,2743,786,176,97832,35150,179,73002,22251,1658,12341,8985,2547,85803,35673
5700,5420,52868,43816,4640,53742,46701,722,-2857,-2069,5420,55378,45944,5420,2347,1006,267,79096,21575,256,63407,13563,4202,13686,9426,6791,104504,43816
5710,1258,58245,48966,1111,60148,53170,175,-2594,-2334,1258,61092,51660,1258,2820,1434,71,61132,21859,72,43150,8616,1040,15048,10785,1434,118398,61615
5720,120,69264,53820,109,64677,55986,33,-4188,-3472,120,71554,55904,120,2235,1064,7,7040,7200,4,7386,7574,107,18107,12126,165,103155,39603
5722,175,55598,43218,140,62961,55614,42,-4166,-1672,175,57303,44075,175,1705,712,21,33006,6016,20,26975,5565,124,16276,11548,216,73596,36799
5723,807,44911,39477,616,48688,45016,102,-2051,-1209,807,46970,41103,807,2053,451,87,54562,27520,91,38103,9672,589,10069,7230,1003,56096,20090
5724,113,39940,32858,92,40865,30726,6,-15314,-5295,113,41727,33258,113,974,350,7,448426,63662,8,351046,26928,68,9407,5402,137,42458,10724
5725,2297,84229,79524,2174,87379,84888,672,-8370,-5489,2297,86945,82731,2297,2699,1518,85,49675,13795,83,36742,10131,1941,25514,22914,2656,99050,58256
5731,190,75529,53295,181,57141,50363,49,-3866,-3790,190,77939,56442,190,2375,1214,13,63965,37373,13,56453,29195,159,20032,12688,252,141914,51700
5732,76,46484,37476,59,39045,34529,8,-3159,-2620,76,48942,39308,76,2442,461,9,15092,4745,8,14378,6158,50,11394,6946,119,43922,16512
5734,82,47719,39034,77,42596,39578,11,-6862,-9235,82,54677,40473,82,3383,485,2,51384,51384,1,81416,81416,59,12021,6437,106,52830,15356
6000,9749,75671,49075,8389,77853,54999,1089,-3796,-4194,9749,77830,50860,9749,2125,300,517,91124,20398,467,68923,10961,7240,28596,15748,13671,61431,8604
6003,3219,62303,45639,2863,61313,48467,372,-5480,-4076,3219,64539,47743,3219,2182,480,247,60448,23338,229,41327,12877,2414,20104,12569,4745,56593,8403
6004,7713,72241,47698,6517,72912,52199,1174,-5408,-4242,7713,74951,50039,7713,2568,469,462,201013,24813,441,174878,10550,5769,26114,13716,9231,100515,16665
6005,4160,76353,52656,3505,75213,56532,580,-3319,-3036,4160,80691,55573,4160,4184,550,342,76711,22380,317,59951,10478,3301,26746,14827,5544,97919,17857
6006,5692,76666,55437,4596,74662,58265,1180,-2704,-2658,5692,79854,58365,5692,3128,790,639,120582,23017,588,92112,11396,4552,25593,15783,6730,126025,44779
6007,4863,87822,60852,3991,80353,62323,942,-3226,-2546,4863,92002,63416,4863,4085,922,475,116413,27904,441,60858,12291,3977,31062,17092,5797,153692,43559
6008,9885,96103,59500,7399,87438,61572,1978,-2186,-1352,9885,100737,63341,9885,4524,782,947,156763,34485,924,94318,11704,7743,37547,18415,11459,232225,55928
6009,11418,130585,57320,7587,99988,52785,2563,-1831,-481,11418,138361,61586,11418,6688,686,1118,308198,59034,1073,177259,19043,8351,63187,21011,12521,373687,66794
6010,11041,109929,56836,7290,94864,56601,2201,-2636,-1828,11041,117640,61013,11041,7520,800,1056,216363,33466,1014,152789,15306,8324,47899,19012,11806,322457,73739
6011,6443,150230,69783,4152,102196,57370,1334,-4935,-1066,6443,162888,75392,6443,12258,965,688,265438,45034,664,157076,17589,5118,68331,22583,7323,397100,65903
6012,5616,121898,55560,3952,86627,52952,1003,-3456,-1747,5616,128101,60076,5616,5989,710,532,199487,35258,509,141572,14517,4280,54925,18151,6379,306138,50666
6014,13378,91009,54722,10034,85148,57650,2554,-2235,-2024,13378,94888,57738,13378,3778,770,1155,137789,28620,1111,79345,11268,10369,35091,16770,14839,193367,58732
6015,4709,127170,63562,2808,97507,52522,1104,-1739,-900,4709,134613,68075,4709,7276,784,442,284965,49434,440,179696,17422,3642,56118,21001,4789,377853,105966
6016,6302,74913,54392,5297,73403,56824,1141,-4379,-2734,6302,77827,57084,6302,2827,824,588,92864,22980,558,65149,8377,5042,24722,14799,7557,108706,40331
6017,3000,58367,48396,2595,56577,50751,317,-2844,-3176,3000,60609,50170,3000,2212,637,279,84044,24945,274,66011,9731,2406,16414,10728,3663,59886,22857
6018,24776,74799,54262,19275,75544,59975,4770,-3520,-2918,24776,77810,56670,24776,2927,791,2102,80333,26598,1998,50098,10436,19226,25671,15793,27767,142427,50459
6019,15355,76317,55361,12329,75814,59841,2660,-4386,-3313,15355,79491,57978,15355,3074,935,1444,91278,26807,1385,62246,10799,12231,25709,15309,18130,124597,40787
6020,14378,79581,51794,10297,75612,55412,3456,-3434,-2419,14378,83059,54641,14378,3330,728,1182,94595,29505,1160,59049,10166,10828,29598,16127,15884,219365,77632
6021,12749,65233,48705,9760,64679,53000,2564,-1340,-1523,12749,67823,50884,12749,2521,630,1157,109946,32051,1115,83929,12403,9789,21021,12755,14216,106181,39865
6022,3221,56707,47009,2506,61505,54010,541,-4277,-3575,3221,58774,48795,3221,2045,696,283,53088,24605,277,30191,10148,2443,16361,12217,3763,118882,51307
6023,9906,70479,50898,7447,71367,55772,1951,-3662,-2656,9906,73265,53362,9906,2752,704,839,63354,24471,814,40405,10202,7431,24296,15137,11116,178937,70622
6024,8376,57846,47424,6596,63219,54554,1302,-4898,-3282,8376,60060,49466,8376,2150,662,717,64090,28720,696,42178,11596,6305,17242,12584,9976,116208,53854
6025,19968,67957,49336,15534,68274,53528,3714,-5377,-3716,19968,70657,51610,19968,2622,722,1697,79706,28860,1643,52342,11972,15378,22245,13456,22998,128326,48158
6026,14507,63467,49485,11496,67225,54247,2567,-5443,-3922,14507,65814,51494,14507,2291,690,1121,75759,29680,1097,50807,11475,11222,19521,13350,16190,133283,58537
6027,27185,61900,48400,21959,64724,52615,4736,-5818,-4102,27185,64239,50302,27185,2263,673,2358,76632,33736,2294,50839,13536,21139,18673,12319,31711,99135,39563
6028,14883,69206,51356,12228,70742,55354,2653,-7684,-5958,14883,71763,53532,14883,2495,750,1208,86496,32110,1173,55929,12195,11655,22391,14146,16101,99436,43421
6029,2033,88477,55448,1406,80068,55432,515,-2758,-729,2033,93996,60045,2033,5399,779,189,123653,27554,185,88552,11195,1566,33417,17881,2206,247984,74355
6030,22860,60416,46378,18710,63033,51532,2946,-7664,-6004,22860,62749,48358,22860,2270,708,2061,66826,35025,2014,41561,13920,17695,18034,11552,26580,70656,29515
6031,9753,59591,50291,8460,62293,54040,1036,-7813,-6514,9753,61808,52207,9753,2189,811,805,60931,35462,793,34833,15137,7880,16592,11837,10730,59046,30234
6032,183,56909,46231,134,57074,49334,38,-302,-2988,183,59463,48090,183,2553,532,21,69164,42986,23,31915,15606,138,17093,11539,200,103053,30877
6033,322,59588,44930,206,52792,37449,89,-4038,-2197,322,62941,46372,322,2743,438,33,84873,40728,35,86276,28218,230,19559,13108,362,93359,26803
6035,4819,59773,47968,3979,64018,53581,535,-5928,-4592,4819,62141,50127,4819,2325,778,431,62501,37915,419,37571,15743,3693,17861,12278,5370,68301,31567
6036,8678,60551,48500,7511,64274,53016,903,-8670,-6709,8678,62900,50578,8678,2316,876,729,58026,32725,699,35553,13662,6921,17355,11779,9679,57089,28139
6037,1589,58516,41929,1195,64072,49276,266,-5005,-3798,1589,61069,44683,1589,2464,719,178,53840,32877,169,34067,13128,1169,17894,11747,1885,79508,35018
6041,806,52646,34364,554,59402,47286,122,-2967,-3248,806,54370,36221,806,1656,440,88,86665,42677,91,59413,19379,523,18194,11014,969,99284,38396
6042,53,45980,32679,29,39150,39454,10,6140,5749,53,47113,35218,53,961,379,5,45956,62317,5,19156,5176,33,13404,9565,64,90407,31854
6043,124,60234,31596,69,60145,37972,25,3514,3600,124,63074,32042,124,2840,352,20,45224,27808,18,22590,10036,75,24200,19076,160,161013,47254
6044,740,52803,37430,499,51008,39132,115,-3216,-715,740,54667,39005,740,1838,300,66,119543,53956,63,86812,34359,495,17615,10302,903,107893,23768
6050,10258,90063,54138,7667,76716,54628,2171,-2380,-2093,10258,94202,56972,10258,4007,705,944,152882,27058,926,98413,11213,7999,34442,16029,11678,186941,47637
6051,8392,65805,52260,7211,66850,56363,1298,-5415,-3532,8392,68337,54422,8392,2484,794,806,65312,20514,764,68730,10101,6745,20001,13208,10206,88754,30559
6052,7135,69124,53328,5835,70743,58420,1394,-4296,-3332,7135,71696,55249,7135,2479,775,668,299755,21917,647,286320,7730,5662,21861,14504,8418,117717,48489
6053,8937,65761,52014,7377,67813,57591,1599,-4419,-3597,8937,68036,53900,8937,2255,765,863,73011,24000,827,54558,10642,7048,20405,13889,10551,104505,47252
6054,11652,58665,48307,9753,60562,52400,1705,-3970,-3207,11652,60749,50168,11652,2051,651,968,62502,25611,934,41079,10466,9155,16804,11656,14215,88404,39524
6055,12787,64138,53061,10846,65411,57202,1722,-3542,-3622,12787,66557,55239,12787,2327,858,1135,81324,28112,1100,61338,13997,10519,18529,12824,14080,87298,37567
6056,22617,58027,47870,18668,60124,51980,3235,-3739,-3238,22617,60181,49753,22617,2096,643,1663,65096,28151,1655,42727,11438,17744,16444,11457,27064,89621,37013
6057,10181,61573,51781,8520,63477,55657,1397,-4586,-3717,10181,63916,53792,10181,2299,708,656,73452,27144,644,52089,11853,8178,17583,12650,11815,94592,44396
6058,7490,56885,49072,6302,60441,53755,892,-5585,-4040,7490,59000,50852,7490,2079,730,545,50347,28960,533,30592,11171,5983,15425,11505,8939,77871,39005
6059,14471,62700,45672,10834,62024,50182,2778,-1910,-1898,14471,65285,47841,14471,2532,571,1304,119631,27458,1286,92441,11293,10832,20427,12203,16167,128824,40350
6060,15078,62972,50817,12461,64617,54999,2173,-3312,-3326,15078,65428,53092,15078,2398,765,1392,72351,25021,1329,50975,9988,11990,18662,12591,17565,89975,33998
6061,20640,48537,43052,17614,51942,47698,1803,-4984,-3743,20640,50477,44918,20640,1914,648,2322,46780,26552,2233,29497,12189,15820,12250,9127,24806,44821,19216
6062,20125,53254,43718,15799,56826,49276,3371,-2375,-1942,20125,55328,45616,20125,2024,572,1837,80097,29440,1777,58563,13488,15098,15066,10291,23260,95510,34696
6063,8088,51090,44355,6831,54565,48717,1090,-5106,-3814,8088,53027,45976,8088,1908,590,712,97927,30752,689,79963,14559,6253,13438,9736,9533,61175,29547
6064,16245,48282,41875,13321,51452,46359,1887,-4295,-3563,16245,50002,43387,16245,1661,540,1641,59294,31695,1593,38847,13338,12295,12323,8958,19604,58984,25997
6065,37681,60822,49853,31099,63767,54649,5877,-6451,-5347,37681,63214,51855,37681,2345,725,3189,77762,32666,3121,53252,14131,29734,17816,12481,41561,78989,39027
6066,10960,53437,45496,9089,56526,49904,1554,-4745,-4002,10960,55373,47154,10960,1893,644,956,67118,30183,932,46363,13245,8573,14240,10129,12732,78524,34292
6067,68,60623,56158,52,69360,66995,13,-173,12,68,62946,60288,68,2323,684,8,29429,19790,10,10022,7906,49,19499,15632,78,69513,25748
6069,22349,63259,52782,19426,66015,57404,2854,-6961,-5247,22349,65568,54764,22349,2265,862,1615,63903,25000,1596,45006,11932,18119,18314,13011,24501,75557,38943
6070,2201,74650,48976,1641,76268,57955,419,-3864,-2500,2201,77616,52036,2201,2859,788,248,62664,21496,242,43421,9638,1619,27621,16011,2606,169031,69850
6071,2205,69790,47141,1679,66991,52073,446,-4114,-2536,2205,72132,49161,2205,2299,633,201,61014,21650,188,41858,10052,1644,24623,13678,2551,155005,63464
6072,572,61765,46828,411,70176,56658,129,-3274,-1457,572,64032,48102,572,2170,649,63,72502,42716,61,48512,17509,424,19849,13425,646,126251,52906
6073,1992,61016,45214,1440,67309,55260,399,-3353,-2450,1992,63138,46929,1992,2062,595,163,64515,34000,157,41008,16503,1448,19945,13670,2211,131229,58015
6074,642,60871,45944,481,63759,54688,102,-3830,-1981,642,62871,48630,642,1982,616,65,57628,35230,64,33427,10458,460,20028,13311,727,107360,55278
6076,13632,66055,48248,9767,68181,54201,2728,-2247,-1850,13632,68660,50242,13632,2543,625,1168,66087,27525,1139,43169,11267,10110,22226,13868,15308,161761,64978
6077,669,71890,43436,466,55163,41945,153,-1367,-2464,669,74994,45490,669,3096,500,60,130239,27353,56,96308,14992,482,26977,12497,778,148135,37112
6078,459,63270,43414,335,60282,43095,90,-3454,-2670,459,66180,45052,459,2811,416,39,126320,51912,37,84904,33288,325,22597,13807,518,116820,35890
6081,2953,64584,48865,2274,69171,56628,485,-4374,-3789,2953,66850,50714,2953,2148,671,277,61968,29531,276,38870,13146,2236,20593,13752,3316,118493,59833
6082,1933,61787,47717,1506,66054,56324,338,-4429,-4417,1933,64173,49670,1933,2333,595,175,61200,22168,174,41411,13913,1454,19401,13247,2246,112789,47136
6083,2293,69454,47819,1708,71414,54542,452,-3116,-2766,2293,71965,50402,2293,2417,575,244,116815,31694,246,96458,16464,1739,24063,13143,2548,126360,60244
6084,4787,61046,48082,3783,63959,53071,804,-4642,-3951,4787,63526,50431,4787,2354,675,426,88952,36897,425,63613,17908,3662,18682,12837,5400,98905,45858
6090,169,76826,56524,115,66462,55425,33,-2792,-1800,169,79408,57362,169,2532,395,26,123305,56923,26,99576,42775,144,23795,13570,211,97381,32956
6100,10142,64894,48848,8537,65084,52870,1715,-4651,-3412,10142,67418,51096,10142,2454,700,810,71514,21716,764,52418,10111,7797,20814,12888,12158,96292,27651
6101,10498,61768,48636,8992,65004,54026,1635,-5331,-3939,10498,64105,51156,10498,2291,752,919,59383,23800,865,41850,10500,8140,18795,12951,12720,81393,29209
6102,7031,48013,37406,5927,50308,41544,698,-4330,-3127,7031,49890,39413,7031,1831,500,581,39422,17520,537,24605,8340,4917,13855,8847,9077,49773,10646
6103,6305,60035,48793,5479,63563,53491,835,-6452,-4273,6305,62361,50792,6305,2263,756,547,123839,21667,528,110330,10256,4950,17568,11700,7618,71147,23219
6104,8746,61402,48351,7383,63085,53400,1341,-5828,-4310,8746,63826,50466,8746,2392,821,704,83151,28881,692,62756,12926,6881,18344,11688,10616,80408,30459
6105,8741,54516,46163,7331,58758,52002,1138,-5128,-4187,8741,56673,48333,8741,2099,700,781,57695,25395,745,40928,12354,6663,15291,11065,10427,62474,25387
6106,148,83610,65624,107,68883,55366,25,-1419,-1516,148,86950,68505,148,2976,542,21,202532,47776,22,166179,24048,121,28649,17321,191,99489,26127
6107,25622,51555,43129,21523,54899,48461,3247,-5346,-4050,25622,53530,45108,25622,1898,629,2389,53283,25954,2286,36127,12268,19128,14525,10019,29974,58279,21402
6108,13711,52910,44657,11371,57012,49907,1787,-4904,-3737,13711,54722,46168,13711,1791,625,1055,47888,28562,1019,28674,12325,10314,14785,10541,16326,78683,34087
6109,6297,49820,42921,5134,52395,47552,576,-3184,-2594,6297,51695,44378,6297,1824,611,671,54970,32188,662,33450,12750,4809,12798,9223,7728,58354,23021
6110,22327,55535,46910,18879,59331,52137,2638,-6054,-4497,22327,57585,48809,22327,2013,726,1804,57548,28989,1765,36846,12706,17430,15357,10980,26245,67009,31509
6111,13483,56535,46325,10767,59834,51239,1821,-3313,-2707,13483,58588,48203,13483,2006,638,1014,69549,30225,1000,45518,13046,10217,16517,11356,16153,94578,38294
6112,31860,58272,49372,27371,61432,53899,3813,-5824,-4919,31860,60503,51356,31860,2191,802,2328,64648,26175,2275,44941,12454,25294,16388,11892,36447,67023,32115
6121,1861,65758,48351,1386,64640,51088,360,-4780,-3723,1861,68460,50682,1861,2552,615,163,82992,49278,163,59276,26832,1407,22095,12502,2058,121800,51121
